evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
258;2013-01-26;2013-01-27;10.856;9.305;18.61;2;13.262142857142859;0.8185705822157591
259;2013-02-20;2013-02-20;8.739;8.739;8.739;1;2.934142857142857;2.9783825892205074
260;2013-03-05;2013-03-12;53.336;24.694499999999998;197.55599999999998;8;3.432;15.540792540792541
261;2013-03-26;2013-04-07;21.179;14.300461538461539;185.906;13;4.498714285714285;4.707789527166493
262;2013-04-11;2013-04-12;12.575;11.715499999999999;23.430999999999997;2;10.813714285714285;1.1628751849503276
263;2013-04-15;2013-04-15;10.856;10.856;10.856;1;9.744285714285713;1.1140888432781118
264;2013-09-28;2013-09-30;13.775;8.013;24.039;3;0.032;430.46875
265;2013-10-02;2013-10-04;6.699;5.739666666666667;17.219;3;3.5207142857142855;1.9027388922702375
266;2013-10-22;2013-10-27;67.505;27.294166666666666;163.765;6;0.5442857142857143;124.0249343832021
267;2013-12-24;2013-12-25;36.481;26.365000000000002;52.730000000000004;2;0.666142857142857;54.76452927300023
268;2013-12-27;2013-12-28;17.801;13.056999999999999;26.113999999999997;2;8.760285714285713;2.0320113499233554
269;2014-01-02;2014-01-08;30.506;14.965;104.755;7;7.703571428571428;3.959981455725545
270;2014-01-16;2014-01-16;9.469;9.469;9.469;1;5.295714285714287;1.788049635824116
271;2014-02-05;2014-02-18;57.04;22.199571428571428;310.794;14;4.574285714285715;12.469706433479073
272;2014-03-02;2014-03-02;10.064;10.064;10.064;1;4.8742857142857146;2.0647127784290737
273;2014-03-31;2014-04-03;48.765;29.691;118.764;4;3.5422857142857143;13.766534924987901
274;2014-04-05;2014-04-06;15.489;13.4055;26.811;2;19.65657142857143;0.7879807552545133
275;2014-05-22;2014-05-22;6.699;6.699;6.699;1;2.5584285714285713;2.618404154335809
276;2014-09-17;2014-09-30;24.636;5.518357142857143;77.257;14;0.036;684.3333333333334
277;2014-10-08;2014-10-19;58.085;22.840333333333334;274.084;12;1.4947142857142857;38.86026952116984
278;2014-11-04;2014-11-04;9.504;9.504;9.504;1;2.424285714285714;3.9203299941072487
279;2014-11-13;2014-11-17;54.962;29.147000000000002;145.735;5;3.951285714285714;13.909902744133918
